"outcome","account","r2_holdout","beta","seed"
"materialHardship","logit",NA,NA,12
"materialHardship","ols",0.186504530394076,"0.400107602079609",12
"eviction","logit",0.0141938014194907,NA,13
"eviction","ols",0.0202881904120321,NA,13
"gpa","logit",NA,NA,13
"gpa","ols",0.105937889463816,"0.216310885343356",13
"grit","logit",NA,NA,13
"grit","ols",0.011808236964722,"0.0257421803753536",13
"jobTraining","logit",0.0490234999696166,NA,13
"jobTraining","ols",0.0512231123320354,NA,13
"layoff","logit",0.00826350415431476,NA,13
"layoff","ols",0.00390408038181789,NA,13
"materialHardship","logit",NA,NA,13
"materialHardship","ols",0.184195448840977,"0.362076307407928",13
"eviction","logit",0.0140013437522513,NA,14
"eviction","ols",0.0225330383670829,NA,14
"gpa","logit",NA,NA,14
"gpa","ols",0.128320994596013,"0.196840172253338",14
"grit","logit",NA,NA,14
"grit","ols",0.0093588660114905,"0.0419405135828931",14
"jobTraining","logit",0.0472476856093094,NA,14
"jobTraining","ols",0.0500316733692253,NA,14
"layoff","logit",0.00577128038178931,NA,14
"layoff","ols",0.000807621846486195,NA,14
"materialHardship","logit",NA,NA,14
"materialHardship","ols",0.178916420607736,"0.375984949594428",14
"eviction","logit",0.0142612062230322,NA,15
"eviction","ols",0.026134449728562,NA,15
"gpa","logit",NA,NA,15
"gpa","ols",0.112037453510726,"0.17755615358203",15
"grit","logit",NA,NA,15
"grit","ols",0.0165539388349305,"0.0209490809421787",15
"jobTraining","logit",0.0531316868472962,NA,15
"jobTraining","ols",0.0492857805219978,NA,15
"layoff","logit",0.0076031603309612,NA,15
"layoff","ols",0.00426776126309436,NA,15
"materialHardship","logit",NA,NA,15
"materialHardship","ols",0.182636139547194,"0.357471328960075",15
"eviction","logit",0.0142667736359533,NA,16
"eviction","ols",0.0239488625385909,NA,16
"gpa","logit",NA,NA,16
"gpa","ols",0.122221200946576,"0.17501354527648",16
"grit","logit",NA,NA,16
"grit","ols",0.0122239441037661,"0.0582324013054695",16
"jobTraining","logit",0.0514544126226109,NA,16
"jobTraining","ols",0.0520348545520505,NA,16
"layoff","logit",0.00657635854419325,NA,16
"layoff","ols",-0.00734391393932121,NA,16
"materialHardship","logit",NA,NA,16
"materialHardship","ols",0.179011941277416,"0.330374598034385",16
"eviction","logit",0.0142191178398207,NA,17
"eviction","ols",0.0167686695562743,NA,17
"gpa","logit",NA,NA,17
"gpa","ols",0.0931878850475402,"0.215246364099167",17
"grit","logit",NA,NA,17
"grit","ols",0.0110267858979767,"0.0280315880954902",17
"jobTraining","logit",0.0497740822663347,NA,17
"jobTraining","ols",0.0543171720625961,NA,17
"layoff","logit",0.00687010751377382,NA,17
"layoff","ols",-0.00164927335438803,NA,17
"materialHardship","logit",NA,NA,17
"materialHardship","ols",0.172675398542124,"0.389819844223565",17
"eviction","logit",0.0140788619835562,NA,18
"eviction","ols",0.0286153127907768,NA,18
"gpa","logit",NA,NA,18
"gpa","ols",0.0761058679862056,"0.234568515763258",18
"grit","logit",NA,NA,18
"grit","ols",0.0123189618051661,"0.0329342670939668",18
"jobTraining","logit",0.0477769303505688,NA,18
"jobTraining","ols",0.050620865351066,NA,18
"layoff","logit",0.010448483495703,NA,18
"layoff","ols",-0.00258810920997621,NA,18
"materialHardship","logit",NA,NA,18
"materialHardship","ols",0.176093466563768,"0.345514879572034",18
"eviction","logit",0.014392862875742,NA,19
"eviction","ols",0.0184642663163086,NA,19
"gpa","logit",NA,NA,19
"gpa","ols",0.119635602798035,"0.210341064388619",19
"grit","logit",NA,NA,19
"grit","ols",0.0156015165658119,"0.037844950414168",19
"jobTraining","logit",0.0502927541247962,NA,19
"jobTraining","ols",0.0508705930125239,NA,19
"layoff","logit",0.00761346417972808,NA,19
"layoff","ols",0.00769382825624865,NA,19
"materialHardship","logit",NA,NA,19
"materialHardship","ols",0.18072772785751,"0.367892330657357",19
"eviction","logit",0.0120786747114824,NA,20
"eviction","ols",0.0278125354310381,NA,20
"gpa","logit",NA,NA,20
"gpa","ols",0.107961819702407,"0.183783529085301",20
"grit","logit",NA,NA,20
"grit","ols",0.00622653547897267,"0.0479617223259156",20
"jobTraining","logit",0.0506748448272603,NA,20
"jobTraining","ols",0.0400811490045847,NA,20
"layoff","logit",0.00814116378533503,NA,20
"layoff","ols",-0.00626134674256895,NA,20
"materialHardship","logit",NA,NA,20
"materialHardship","ols",0.179086494367314,"0.390725899857062",20
"eviction","logit",0.0143306804379765,NA,21
"eviction","ols",0.0248434005266172,NA,21
"gpa","logit",NA,NA,21
"gpa","ols",0.0840103919632237,"0.220092916579902",21
"grit","logit",NA,NA,21
"grit","ols",0.0145309529931377,"0.00661727736056528",21
"jobTraining","logit",0.0481616469082099,NA,21
"jobTraining","ols",0.0456609811476508,NA,21
"layoff","logit",0.00749423437016927,NA,21
"layoff","ols",0.00574737228105748,NA,21
"materialHardship","logit",NA,NA,21
"materialHardship","ols",0.173781289098133,"0.337408911003796",21
"eviction","logit",0.0144212751981017,NA,22
"eviction","ols",0.0212795893486547,NA,22
"gpa","logit",NA,NA,22
"gpa","ols",0.1129546210691,"0.195790566277011",22
"grit","logit",NA,NA,22
"grit","ols",0.00935042141471365,"0.000746221345278197",22
"jobTraining","logit",0.0496436774018079,NA,22
"jobTraining","ols",0.0531602019570654,NA,22
"layoff","logit",0.0087401114256721,NA,22
"layoff","ols",0.0054638245392834,NA,22
"materialHardship","logit",NA,NA,22
"materialHardship","ols",0.181855992660164,"0.32679032211822",22
"eviction","logit",0.0143087465725561,NA,23
"eviction","ols",0.0174158947548239,NA,23
"gpa","logit",NA,NA,23
"gpa","ols",0.0964704094957312,"0.207599012501391",23
"grit","logit",NA,NA,23
"grit","ols",0.00765864870861388,"0.00949279470739905",23
"jobTraining","logit",0.0476765306457801,NA,23
"jobTraining","ols",0.0469424314278118,NA,23
"layoff","logit",0.00913729466239954,NA,23
"layoff","ols",-0.00287216108646993,NA,23
"materialHardship","logit",NA,NA,23
"materialHardship","ols",0.181319468986661,"0.357726254381704",23
"eviction","logit",0.0143207970834349,NA,24
"eviction","ols",0.0227903476699854,NA,24
"gpa","logit",NA,NA,24
"gpa","ols",0.0776927286049907,"0.22455903784372",24
"grit","logit",NA,NA,24
"grit","ols",0.0135111534071963,"0.00744699445142659",24
"jobTraining","logit",0.049963712413651,NA,24
"jobTraining","ols",0.0462194939255847,NA,24
"layoff","logit",0.00892695971200463,NA,24
"layoff","ols",-0.00901871367455875,NA,24
"materialHardship","logit",NA,NA,24
"materialHardship","ols",0.182101421663909,"0.367031721848912",24
"eviction","logit",0.014417104161311,NA,25
"eviction","ols",0.0250287003983112,NA,25
"gpa","logit",NA,NA,25
"gpa","ols",0.118921834777859,"0.183553130601578",25
"grit","logit",NA,NA,25
"grit","ols",0.00925250525861843,"0.0216431370913919",25
"jobTraining","logit",0.0485852434258294,NA,25
"jobTraining","ols",0.0484529796004463,NA,25
"layoff","logit",0.00745253822106806,NA,25
"layoff","ols",0.00913383863974959,NA,25
"materialHardship","logit",NA,NA,25
"materialHardship","ols",0.16205269274618,"0.350849811230999",25
"eviction","logit",0.0143437359701823,NA,26
"eviction","ols",0.0221742288528027,NA,26
"gpa","logit",NA,NA,26
"gpa","ols",0.0952663001965306,"0.21986327488591",26
"grit","logit",NA,NA,26
"grit","ols",0.0140558737559018,"0.0393859556858279",26
"jobTraining","logit",0.0495753048266442,NA,26
"jobTraining","ols",0.0525885548390749,NA,26
"layoff","logit",0.00832687076792904,NA,26
"layoff","ols",-0.00201522459764081,NA,26
"materialHardship","logit",NA,NA,26
"materialHardship","ols",0.183308409991589,"0.377741053085193",26
"eviction","logit",0.014290528981398,NA,27
"eviction","ols",0.0173535452834894,NA,27
"gpa","logit",NA,NA,27
"gpa","ols",0.108956407539019,"0.18761184065254",27
"grit","logit",NA,NA,27
"grit","ols",0.0166185876816919,"0.0151520975712018",27
"jobTraining","logit",0.0470903105819418,NA,27
"jobTraining","ols",0.0544361651777274,NA,27
"layoff","logit",0.00767236731594434,NA,27
"layoff","ols",0.00745192575650266,NA,27
"materialHardship","logit",NA,NA,27
"materialHardship","ols",0.182690237502249,"0.354021022818321",27
"eviction","logit",0.0144146557834948,NA,28
"eviction","ols",0.0200923549419439,NA,28
"gpa","logit",NA,NA,28
"gpa","ols",0.116080491396746,"0.165800521775911",28
"grit","logit",NA,NA,28
"grit","ols",0.0136538113660983,"0.0670254618707112",28
"jobTraining","logit",0.0469148062618313,NA,28
